source,target,weight
cortical area 3a,second somatosensory area of cerebral cortex,2
reticular nucleus of thalamus,ventral anterior nucleus of thalamus,2
reticular nucleus of thalamus,ventral posterior inferior nucleus of thalamus,2
tegmentum,nucleus papillioformis,7
tegmentum,Striatum mediale,7
ventral posterior inferior nucleus of thalamus,reticular nucleus of thalamus,2
nucleus lentiformis mesencephali,Tuberculum olfactorium,7
nucleus lentiformis mesencephali,nucleus commissurae pallii,7
tectum opticum,Nucleus striae terminalis lateralis,7
tectum opticum,neostriatum mediorostrale/ hyperstriatum,7
tectum opticum,nucleus preopticus medialis,7
tectum opticum,nucleus preopticus anterior,7
tectum opticum,nucleus anterior medialis hypothalami,7
tectum opticum,nucleus periventricularis hypothalami,7
isthmus,Hippocampus,7
tectum opticum,nucleus periventricularis magnocellularis,7
tectum opticum,nucleus ventromedialis hypothalami,7
tectum opticum,nucleus dorsomedialis hypothalami,7
tectum opticum,nucleus inferior hypothalami,7
tectum opticum,nucleus mamillaris lateralis,7
Subiculum,EC,5
AIP,reticular nucleus of thalamus,2
tectum opticum,nucleus mamillaris medialis,7
tectum opticum,nucleus dorsomedialis posterior thalami,7
cortical area 3a,reticular nucleus of thalamus,2
cortical area 3b,reticular nucleus of thalamus,2
12L,reticular nucleus of thalamus,2
secondary visual cortex,reticular nucleus of thalamus,2
Precommissural nucleus,Medullary reticular nucleus dorsal part,5
tectum opticum,nucleus paramedianus internus thalami,7
tectum opticum,substantia grisea centralis,7
tectum opticum,nucleus intracollicularis,7
isthmus,septum,7
46vr,reticular nucleus of thalamus,2
tectum opticum,Stratum Griseum Periventriculare,7
tectum opticum,nucleus infundibularis,7
pons,Nucleus septalis medialis,7
Bed nuclei of the stria terminalis posterior division principal nucleus,Lateral hypothalamic area,5
Nidopallium intermedium,nucleus commissurae pallii,7
Mesopallium,nucleus preopticus anterior,7
Precommissural nucleus,Medullary reticular nucleus ventral part,5
Bed nuclei of the stria terminalis posterior division principal nucleus,Medial habenula,5
